event_id,topic,article_id_1,article_id_2,outlet_1,outlet_2,frame_1,frame_2,pair_type,is_cross_frame,S_raw,L_raw,E_raw,M_raw,C_raw,S_z,L_z,E_z,M_z,C_z,E_n_shared
pol_005,political conflict,art_142,art_148,CNN,Le Monde,neutral,state-centric,cross_frame,1,0.04829999999999996,0.1667,0.039642857142857146,0.3371661901473999,0.8507462686567164,-0.8732368865391226,-0.6690001329063872,-0.31709757343772454,0.47066348603458513,-0.008617064238537808,20
pol_005,political conflict,art_142,art_149,CNN,The Hindu,neutral,state-centric,cross_frame,1,0.0526,0.0,0.09234693877551022,0.3392636775970459,0.8703703703703703,-0.8289133225991525,-1.0482798256041808,0.996540454289585,0.4886406164042579,0.2462391379153703,14
pol_005,political conflict,art_142,art_150,CNN,Straits Times,neutral,state-centric,cross_frame,1,0.040333333333333325,0.5,0.04342532467532468,0.1651114821434021,0.8394160583941606,-0.9553557375596858,0.08933173017804394,-0.222820374492761,-1.003981769662118,-0.15576134626756583,22
pol_005,political conflict,art_142,art_151,CNN,News24,neutral,neutral,within_frame,0,0.10003333333333332,0.3333,0.022077922077922075,0.27301061153411865,0.907563025210084,-0.33997974518383,-0.2899479625197498,-0.7548998449332207,-0.07920068639104719,0.7292563429207602,11
pol_005,political conflict,art_143,art_144,BBC,Reuters,people-centric,state-centric,cross_frame,1,0.05563333333333331,0.75,0.03576923076923077,0.21755892038345337,0.8602150537634409,-0.797646312377934,0.6581375080691563,-0.4136468871146071,-0.5544656426617434,0.11435307964490193,13
pol_005,political conflict,art_143,art_145,BBC,RT News,people-centric,neutral,cross_frame,1,0.10829999999999997,0.022699999999999998,0.05222222222222222,0.3601806163787842,0.8588235294117648,-0.2547685524930361,-0.9966322609716678,-0.0035595737037353125,0.6679153650933319,0.09628149518984866,12
pol_005,political conflict,art_143,art_146,BBC,Al Jazeera,people-centric,state-centric,cross_frame,1,0.07776666666666668,0.25,0.020555555555555556,0.14188897609710693,0.8297872340425532,-0.5695002158187107,-0.47947404771306845,-0.7928445067880366,-1.2030170577041137,-0.2808099034583555,16
pol_005,political conflict,art_143,art_147,BBC,The Guardian,people-centric,neutral,cross_frame,1,0.05293333333333333,0.75,0.07428571428571429,0.22769665718078613,0.8313253012048193,-0.8254773874100076,0.6581375080691563,0.546368274410139,-0.46757720092644783,-0.2608351825079413,14
pol_005,political conflict,art_143,art_148,BBC,Le Monde,people-centric,state-centric,cross_frame,1,0.07193333333333334,0.08330000000000001,0.019333333333333334,0.3576464056968689,0.868421052631579,-0.629629081628747,-0.858753740410862,-0.8233081357842728,0.6461951703809882,0.22092354778295906,15
pol_005,political conflict,art_143,art_149,BBC,The Hindu,people-centric,state-centric,cross_frame,1,0.10616666666666667,0.25,0.06727272727272728,0.34688591957092285,0.872093023255814,-0.2767585377035632,-0.47947404771306845,0.3715710643490907,0.5539692731724803,0.26861105477657177,11
